,a,b,c,d,,,total
1,2,-6,-1,6,,1,175
2,-4.25,-4,0.5,-4.75,,2,106.8125
3,-2.5,0.75,8,11.75,,3,633.375
4,-1.354166667,-3.229166667,-3.645833333,-12.10416667,,4,696.8168403
5,-2.447916667,-1.75,4.59375,8.770833333,,5,286.812066
6,-1.3078125,-1.258854167,0.824479167,-2.2578125,,6,14.39434299
7,-1.341666667,-1.673611111,1.333333333,1.079166667,,7,-16.01319059
8,-1.25421627,-1.386755952,1.228720238,0.506498016,,8,-16.85946316
9,-1.124962798,-1.31515377,1.106857639,0.5,,9,-16.28554982
10,-1.033543113,-1.229898658,1.021284929,0.466436219,,10,-15.72019799
11,-0.955139991,-1.154035632,0.947546296,0.436212935,,11,-15.14862376
12,-0.887520997,-1.086113369,0.883655175,0.409041127,,12,-14.58702847
13,-0.828645872,-1.025117768,0.827770477,0.384635338,,13,-14.04398279
14,-0.776942873,-0.970157974,0.778475249,0.362684941,,14,-13.52407611
15,-0.731193244,-0.920459621,0.734670366,0.342895053,,15,-13.02946161
16,-0.690438078,-0.87535653,0.695489715,0.325000099,,16,-12.56078327
17,-0.653912525,-0.83427832,0.660240852,0.308766673,,17,-12.11776077
18,-0.620999085,-0.796737241,0.628363152,0.293992102,,18,-11.69956323
19,-0.591193835,-0.76231584,0.599397665,0.280501405,,19,-11.30504913
20,-0.564081571,-0.730656075,0.57296497,0.268143829,,20,-10.93291981
21,-0.539317205,-0.701449978,0.548748634,0.256789483,,21,-10.58181714
22,-0.516611659,-0.674431792,0.526482657,0.246326299,,22,-10.25038465
23,-0.495721012,-0.649371375,0.50594181,0.236657369,,23,-9.937304766
24,-0.47643808,-0.626068712,0.486934126,0.227698669,,24,-9.641320495
25,-0.458585796,-0.60434934,0.469294991,0.219377126,,25,-9.361246952
26,-0.442011966,-0.584060544,0.452882449,0.211628983,,26,-9.095976305
27,-0.426585083,-0.565068169,0.437573445,0.204398439,,27,-8.844478565
28,-0.412190947,-0.547253968,0.423260789,0.19763649,,28,-8.605799779
29,-0.398729928,-0.53051337,0.409850684,0.191299964,,29,-8.379058679
30,-0.386114729,-0.5147536,0.39726071,0.185350708,,30,-8.163442479
31,-0.374268548,-0.499892098,0.385418146,0.179754896,,31,-7.958202282
32,-0.363123551,-0.485855176,0.374258597,0.174482454,,32,-7.762648367
33,-0.352619613,-0.47257688,0.363724832,0.169506562,,33,-7.576145563
34,-0.342703254,-0.459998011,0.353765822,0.164803234,,34,-7.398108807
35,-0.333326752,-0.448065303,0.344335923,0.160350965,,35,-7.227998961
36,-0.324447394,-0.436730702,0.335394184,0.15613042,,36,-7.065318901
37,-0.316026836,-0.42595075,0.326903762,0.152124174,,37,-6.909609918
38,-0.308030562,-0.415686063,0.318831424,0.148316483,,38,-6.760448394
39,-0.300427417,-0.405900862,0.311147109,0.144693091,,39,-6.617442772
40,-0.293189216,-0.396562575,0.303823567,0.14124106,,40,-6.480230786
41,-0.286290392,-0.387641494,0.296836033,0.137948622,,41,-6.348476945
42,-0.279707705,-0.379110464,0.290161953,0.134805054,,42,-6.221870237
43,-0.273419981,-0.370944619,0.283780745,0.131800561,,43,-6.100122052
44,-0.267407891,-0.363121149,0.277673585,0.128926184,,44,-5.982964295
45,-0.261653753,-0.355619092,0.271823225,0.12617371,,45,-5.870147669
46,-0.256141361,-0.348419152,0.266213833,0.123535597,,46,-5.761440122
47,-0.250855836,-0.341503537,0.260830848,0.121004909,,47,-5.656625433
48,-0.245783491,-0.33485582,0.255660859,0.118575255,,48,-5.555501932
49,-0.240911715,-0.328460805,0.250691491,0.11624074,,49,-5.457881331
50,-0.236228872,-0.32230442,0.245911308,0.113995912,,50,-5.363587667
51,-0.231724206,-0.316373614,0.241309724,0.11183573,,51,-5.272456332
52,-0.227387759,-0.310656265,0.23687693,0.109755517,,52,-5.184333201
53,-0.223210301,-0.305141101,0.23260382,0.107750936,,53,-5.099073826
54,-0.219183264,-0.299817626,0.228481929,0.105817956,,54,-5.016542704
55,-0.215298684,-0.294676056,0.224503381,0.103952823,,55,-4.936612613
56,-0.211549147,-0.289707257,0.220660837,0.102152044,,56,-4.859164001
57,-0.207927743,-0.284902697,0.216947449,0.100412357,,57,-4.784084424
58,-0.204428028,-0.280254392,0.213356821,0.098730719,,58,-4.711268039
59,-0.201043979,-0.275754866,0.209882971,0.097104282,,59,-4.64061513
60,-0.197769965,-0.271397113,0.206520301,0.095530382,,60,-4.572031682
61,-0.194600713,-0.267174555,0.203263562,0.094006523,,61,-4.505428985
62,-0.191531281,-0.263081017,0.200107834,0.092530364,,62,-4.440723268
63,-0.188557035,-0.25911069,0.197048492,0.091099707,,63,-4.377835367
64,-0.185673621,-0.25525811,0.194081192,0.089712488,,64,-4.316690414
65,-0.182876945,-0.25151813,0.191201846,0.088366762,,65,-4.257217558
66,-0.180163158,-0.247885896,0.188406604,0.087060703,,66,-4.199349696
67,-0.177528632,-0.244356831,0.185691838,0.085792586,,67,-4.143023237
68,-0.17496995,-0.24092661,0.183054125,0.084560786,,68,-4.088177873
69,-0.172483888,-0.23759115,0.180490232,0.083363769,,69,-4.034756377
70,-0.1700674,-0.234346584,0.177997108,0.082200086,,70,-3.982704406
71,-0.16771761,-0.231189256,0.175571863,0.081068369,,71,-3.931970325
72,-0.165431797,-0.228115703,0.173211766,0.079967319,,72,-3.882505044
73,-0.163207386,-0.225122639,0.170914228,0.078895712,,73,-3.834261861
74,-0.161041938,-0.222206951,0.168676796,0.077852383,,74,-3.787196323
75,-0.158933143,-0.219365683,0.166497143,0.076836231,,75,-3.741266091
76,-0.156878807,-0.216596026,0.164373063,0.075846209,,76,-3.696430818
77,-0.154876851,-0.213895312,0.162302457,0.074881326,,77,-3.652652034
78,-0.152925298,-0.211261003,0.160283333,0.073940636,,78,-3.609893038
79,-0.15102227,-0.208690684,0.158313796,0.073023244,,79,-3.568118801
80,-0.149165981,-0.206182055,0.156392042,0.072128296,,80,-3.527295868
81,-0.147354731,-0.203732926,0.154516355,0.07125498,,81,-3.487392275
82,-0.145586903,-0.201341208,0.152685099,0.070402523,,82,-3.448377465
83,-0.143860955,-0.199004909,0.150896714,0.069570187,,83,-3.410222215
84,-0.142175417,-0.196722128,0.149149713,0.068757269,,84,-3.372898561
85,-0.140528888,-0.194491048,0.147442678,0.067963099,,85,-3.336379733
86,-0.13892003,-0.192309937,0.145774252,0.067187038,,86,-3.300640091
87,-0.137347566,-0.190177137,0.144143142,0.066428472,,87,-3.26565507
88,-0.135810275,-0.188091062,0.142548111,0.065686819,,88,-3.231401118
89,-0.134306992,-0.186050195,0.140987974,0.06496152,,89,-3.197855653
90,-0.132836601,-0.184053085,0.1394616,0.06425204,,90,-3.164997005
91,-0.131398035,-0.182098341,0.137967905,0.063557869,,91,-3.132804379
92,-0.129990272,-0.180184631,0.136505851,0.062878516,,92,-3.101257805
93,-0.128612335,-0.178310678,0.135074444,0.062213514,,93,-3.070338099
94,-0.127263286,-0.176475258,0.133672731,0.061562413,,94,-3.040026831
95,-0.125942226,-0.174677194,0.132299797,0.060924781,,95,-3.010306277
96,-0.124648295,-0.17291536,0.130954767,0.060300206,,96,-2.981159398
97,-0.123380665,-0.171188673,0.129636797,0.059688292,,97,-2.952569798
98,-0.122138542,-0.169496092,0.12834508,0.059088657,,98,-2.924521698
99,-0.120921167,-0.167836619,0.12707884,0.058500937,,99,-2.896999909
100,-0.119727805,-0.166209291,0.125837331,0.057924779,,100,-2.869989802
